seed 2163731680 pop_size 10000 nb_loci 500 nb_dim 1 mut_rate 1e-06 mut_rate_mod 1e-05 mig_rate 0.05 rec_rate 0.001 rec_rate_between_LB 0.01 rec_rate_for_CL 0.1 var_mut 0.05 fit_alt 0.1 epistasis 2 var_pref 0.1 var_cost 0 nb_dmi 50 dmi_e 0.1 dmi_neutral 0 skip_mating_choice 0 initial_pref 1 initial_cost 100 common_origin 0 life_cycle_is_mig_sel 0 opt_one 5 opt_two -5 min_pheno -9.7333 max_pheno 10.1378
20000	0.4955	0.956454	0.99974	0.0237332	100	0.956241	4.11372	0.952637	0.999826	0.0243266	100	0.952497	4.0594	0.5002	0.947091	0.9998	0.0244175	100	0.946964	-4.04507	0.950518	0.999742	0.0243651	100	0.950313	-3.96952	0.994	0.999
30000	0.5038	0.951771	0.999422	0.0229186	100	0.951271	3.9449	0.956609	0.999544	0.0229057	100	0.956281	3.99231	0.4962	0.951657	0.999242	0.0227003	100	0.950993	-3.91917	0.947879	0.999209	0.0227196	100	0.947235	-3.9016	0.99	0.987
40000	0.4964	0.949578	0.999222	0.0229839	100	0.94899	3.89616	0.950147	0.999251	0.0228971	100	0.949535	3.92805	0.4991	0.946474	0.999401	0.0233943	100	0.945975	-3.86213	0.952683	0.999509	0.0234026	100	0.952302	-3.94966	0.996	0.997
50000	0.5017	0.950748	0.999436	0.0234711	100	0.950296	4.05021	0.947171	0.999449	0.0233756	100	0.946702	3.90837	0.5111	0.951575	0.999495	0.0237782	100	0.951122	-3.86848	0.953539	0.999253	0.0238697	100	0.952867	-3.9108	1	0.997
60000	0.4815	0.953718	0.999597	0.0227802	100	0.953334	3.9742	0.955183	0.999774	0.0226991	100	0.954986	4.01355	0.5071	0.951582	0.999631	0.0225674	100	0.951228	-3.86045	0.954224	0.999649	0.0225603	100	0.953969	-3.88715	1	0.998
70000	0.4956	0.94859	0.999526	0.0225646	100	0.948201	3.90874	0.949177	0.999727	0.0225685	100	0.948941	3.87732	0.506	0.95338	0.999391	0.0226481	100	0.952848	-4.02158	0.947166	0.999467	0.0226494	100	0.946768	-3.89337	0.998	0.9971
80000	0.4968	0.952571	0.999781	0.0226706	100	0.952376	3.91105	0.949259	0.999781	0.0226685	100	0.949094	3.83215	0.4971	0.952489	0.999743	0.0225542	100	0.952264	-3.93946	0.951648	0.999825	0.0225303	100	0.95149	-3.84977	0.998	0.998
90000	0.5044	0.949743	0.999492	0.0234895	100	0.949296	3.95054	0.953603	0.999468	0.02352	100	0.953177	3.94867	0.5042	0.950673	0.999036	0.0227736	100	0.949767	-4.00672	0.956016	0.999075	0.0227537	100	0.955194	-4.03494	0.997	0.997
100000	0.5041	0.948614	0.99924	0.0219802	100	0.947982	3.95986	0.948486	0.999501	0.0219915	100	0.948074	3.90122	0.5003	0.954522	0.999448	0.0222903	100	0.954076	-4.00992	0.952236	0.999395	0.0221417	100	0.951703	-3.93566	0.998	0.993
110000	0.497	0.947244	0.999529	0.0228688	100	0.946854	3.87632	0.946886	0.999608	0.0228159	100	0.94653	3.8782	0.5084	0.948798	0.999668	0.0232063	100	0.948563	-3.87215	0.945385	0.999682	0.0231917	100	0.945132	-3.85268	0.994	0.999
120000	0.5043	0.951254	0.999667	0.0232783	100	0.950955	3.93299	0.955758	0.999526	0.0232745	100	0.955328	3.9704	0.4985	0.951742	0.999661	0.0236477	100	0.951437	-3.92082	0.951163	0.999687	0.023567	100	0.950852	-3.94758	0.999	1
130000	0.5006	0.952073	0.999445	0.0235968	100	0.951617	3.87854	0.948599	0.999535	0.0235761	100	0.948237	3.8053	0.4938	0.953773	0.999621	0.0250041	100	0.953446	-3.9864	0.949893	0.999513	0.0254862	100	0.949517	-3.88609	0.998	0.998
140000	0.4978	0.950637	0.999315	0.022698	100	0.950037	3.9109	0.956106	0.999335	0.0226981	100	0.955513	3.99904	0.5057	0.95368	0.999306	0.0226756	100	0.953081	-3.98709	0.952851	0.999648	0.0226911	100	0.952538	-3.9544	0.994	0.997
150000	0.5004	0.957957	0.999191	0.0227831	100	0.957279	3.98142	0.956969	0.999254	0.0227544	100	0.956405	4.00941	0.504	0.951529	0.999087	0.0226728	100	0.950809	-3.95771	0.950738	0.998667	0.0226828	100	0.949698	-3.89516	0.994	0.993
160000	0.4995	0.947079	0.999267	0.0229809	100	0.946512	3.89943	0.94781	0.999205	0.023051	100	0.94714	3.91322	0.5095	0.949871	0.999217	0.022763	100	0.949209	-3.91172	0.951105	0.999059	0.0227732	100	0.950332	-4.03014	0.992	0.992
170000	0.5034	0.952812	0.999378	0.0227003	100	0.952237	3.8895	0.950816	0.99945	0.0227269	100	0.950336	3.92176	0.5113	0.947983	0.999654	0.0226981	100	0.947725	-3.84043	0.951164	0.999561	0.0227003	100	0.950738	-3.89249	0.997	1
180000	0.5047	0.950608	0.99919	0.023029	100	0.949918	3.87806	0.950357	0.999309	0.0228357	100	0.94979	3.89678	0.4984	0.954471	0.999276	0.0232068	100	0.953856	-3.93368	0.955716	0.999115	0.0233172	100	0.954909	-3.94721	0.998	0.995
190000	0.5051	0.959994	0.999452	0.0229788	100	0.959536	4.0607	0.957537	0.99952	0.0227724	100	0.957117	4.03314	0.4952	0.95285	0.999384	0.0232752	100	0.952371	-3.88997	0.956857	0.999253	0.0230658	100	0.956223	-3.99418	0.994	0.9911
